X Y jan
138.164400459370 27.677327222524 257
138.191830801491 83.0320103117894 260
138.246689481412 138.386779325263 262
138.328972490584 193.741691517607 264
138.438673816427 249.096804101277 264
138.575785442618 304.452174229650 267
138.740297349476 359.807858980181 267
138.932197514446 415.163915337563 266
139.151471912679 470.520400176925 266
139.398104517709 525.877370247052 266
139.672077302224 581.234882153641 266
139.973370238942 636.592992342591 265
140.301961301578 691.951757083345 266
140.657826465910 747.311232452265 265
141.040939710948 802.671474316072 263
141.451273020193 858.03253831533 263
141.888796383005 913.394479847996 260
193.878400593556 27.6645866282773 258
193.901592981766 82.9937924068972 260
193.947976073445 138.323095742091 261
194.017546499187 193.652561639505 263
194.110299205066 248.982255056691 264
194.226227452861 304.312240883885 267
194.365322820347 359.642583924805 267
194.527575201673 414.973348877475 266
194.712972807797 470.304600315074 266
194.921502167015 525.636402666816 266
195.153148125545 580.968820198878 266
195.407893848206 636.30191699536 265
195.685720819152 691.635756939306 265
195.986608842698 746.970403693769 264
196.310536044214 802.305920682944 261
196.657478871095 857.642371073356 260
197.027412093810 912.979817755127 260
249.568894757944 27.6539769715731 258
249.587858155529 82.9619666618852 263
249.62578357991 138.270063583099 262
249.682668289564 193.578339187166 263
249.758508172345 248.886864873069 264
249.853297745649 304.19571196566 266
249.967030156637 359.504951694513 266
250.099697182509 414.814655172802 266
250.251289230842 470.124893376214 265
250.421795339969 525.435737121895 265
250.611203179435 580.747257047445 266
250.819499050488 636.059523589958 265
251.046667886642 691.372606965115 265
251.292693254286 746.686577146339 263
251.557557353360 802.00150384402 261
251.841241018082 857.317456484802 259
252.143723717729 912.63450419096 260
305.240169092205 27.6454941541867 262
305.254910821265 82.9365207855996 263
305.284393217958 138.227662374760 264
305.328614159466 193.518995522265 264
305.387570461666 248.810596771873 263
305.461257879243 304.102542587788 265
305.549671105852 359.394909331967 264
305.652803774319 414.687773241457 266
305.770648456877 469.981210405762 265
305.903196665447 525.275296744255 265
306.050438851959 580.570107983632 265
306.212364408711 635.865719635423 264
306.388961668769 691.162206973558 263
306.580217906416 746.459645011999 262
306.786119337626 801.758108482446 263
307.006651120597 857.057671812114 262
307.241797356316 912.3584091016 261
360.896502339818 27.6391349020353 262
360.907028088165 82.9174449585996 264
360.928078829234 138.195875760696 265
360.959653051797 193.474507765516 265
361.001748489081 248.753421370521 267
361.054362118846 304.032696889572 266
361.117490163492 359.312414529078 265
361.191128090194 414.592654364185 265
361.275270611061 469.873496314991 265
361.369911683323 525.155020122808 265
361.475044509551 580.43730532647 265
361.59066153789 635.720431238697 264
361.716754462338 691.004476922527 261
361.853314223039 746.289521167807 260
362.000331006605 801.575642467766 263
362.157794246478 856.86291899566 260
362.325692623300 912.151428581523 261
416.542167491676 27.6348967621793 260
416.548481318201 82.9047318241688 263
416.56110851889 138.174691486717 265
416.580048189031 193.444858775753 265
416.605298971599 248.715316655553 267
416.636859057296 303.986148004103 267
416.674726184614 359.257435588483 265
416.718897639916 414.529262040285 265
416.76937025752 469.801709831068 265
416.826140419816 525.074861247851 265
416.889204057382 580.348798368664 263
416.958556649128 635.623603038153 264
417.034193222446 690.899356843247 263
417.116108353389 746.176141088899 261
417.204296166849 801.454036773903 260
417.298750336765 856.733124566796 261
417.399464086343 912.013484781845 262
472.181433429676 27.6327781005749 261
472.183537768181 82.8983764815747 262
472.187746294571 138.164101389599 265
472.194058707615 193.430037134247 266
472.202474555476 248.696267962507 268
472.212993235729 303.962878033736 268
472.22561399538 359.229951394658 266
472.240335930891 414.497571954406 266
472.25715798821 469.765823459585 264
472.276078962809 525.034789469397 264
472.297097499718 580.304553330799 263
472.320212093576 635.57519815374 263
472.345421088679 690.84680678644 261
472.372722679037 746.119461790762 258
472.402114908434 801.393245417649 251
472.433595670494 856.668239582648 254
472.467162708754 911.944525841533 255
527.818566570324 27.6327781005749 261
527.81646223182 82.8983764815747 262
527.812253705429 138.164101389599 265
527.805941292385 193.430037134247 266
527.797525444524 248.696267962507 269
527.787006764271 303.962878033736 270
527.77438600462 359.229951394658 267
527.759664069109 414.497571954406 266
527.74284201179 469.765823459585 264
